Title,Price,Release Date,Tags,Description,Reviews,URL,Preprocessed_Description,Preprocessed_Title,Cleaned_Description,Tokenized_Description
Stardew Valley,Free,"26 Feb, 2016","['Farming Sim', 'Pixel Graphics', 'Multiplayer', 'Life Sim', 'RPG', 'Relaxing', 'Agriculture', 'Simulation', 'Crafting', 'Sandbox', 'Indie', 'Building', 'Singleplayer', 'Casual', 'Open World', '2D', 'Cute', 'Dating Sim', 'Great Soundtrack', 'Fishing']","You've inherited your grandfather's old farm plot in Stardew Valley. Armed with hand-me-down tools and a few coins, you set out to begin your new life. Can you learn to live off the land and turn these overgrown fields into a thriving home?","- 98% of the 14,300 user reviews in the last 30 days are positive.",https://store.steampowered.com/app/413150/Stardew_Valley/?snr=1_7_7_7000_150_2,Youve inherited your grandfathers old farm plot in Stardew Valley Armed with handmedown tools and a few coins you set out to begin your new life Can you learn to live off the land and turn these overgrown fields into a thriving home,Stardew Valley,youve inherited grandfather old farm plot stardew valley armed handmedown tool coin set begin new life learn live land turn overgrown field thriving home,"['youve', 'inherited', 'grandfather', 'old', 'farm', 'plot', 'stardew', 'valley', 'armed', 'handmedown', 'tool', 'coin', 'set', 'begin', 'new', 'life', 'learn', 'live', 'land', 'turn', 'overgrown', 'field', 'thriving', 'home']"
ICARUS,Free,"3 Dec, 2021","['Survival', 'Open World Survival Craft', 'Multiplayer', 'Base Building', 'Online Co-Op', 'Crafting', 'Exploration', 'Open World', 'Building', 'Co-op', 'PvE', 'First-Person', 'Space', 'Realistic', 'Mining', 'Third Person', 'Sandbox', 'Adventure', 'Nature', 'Science']","ICARUS is a PvE survival game for up to eight players. Explore a savage wilderness in the aftermath of terraforming gone wrong. Survive the Open World, complete timed Missions or build your Outpost. Explore, build, craft and hunt while seeking your fortune and prospecting for exotic matter.","- 68% of the 1,068 user reviews in the last 30 days are positive.",https://store.steampowered.com/app/1149460/ICARUS/?snr=1_7_7_7000_150_2,ICARUS is a PvE survival  for up to eight players Explore a savage wilderness in the aftermath of terraforming gone wrong Survive the Open World complete timed Missions or build your Outpost Explore build craft and hunt while seeking your fortune and prospecting for exotic matter,ICARUS,icarus pve survival eight player explore savage wilderness aftermath terraforming gone wrong survive open world complete timed mission build outpost explore build craft hunt seeking fortune prospecting exotic matter,"['icarus', 'pve', 'survival', 'eight', 'player', 'explore', 'savage', 'wilderness', 'aftermath', 'terraforming', 'gone', 'wrong', 'survive', 'open', 'world', 'complete', 'timed', 'mission', 'build', 'outpost', 'explore', 'build', 'craft', 'hunt', 'seeking', 'fortune', 'prospecting', 'exotic', 'matter']"
Wallpaper Engine,Free,"16 Nov, 2018","['Mature', 'Utilities', 'Anime', 'Software', 'Design & Illustration', 'Animation & Modeling', 'NSFW', 'First-Person', 'Indie', 'Memes', 'Cute', 'Action', 'Singleplayer', 'Funny', 'Early Access', 'Photo Editing', 'Sandbox', 'Horror', 'Game Development', 'Gaming']",Use stunning live wallpapers on your desktop. Animate your own images to create new wallpapers or import videos/websites and share them on the Steam Workshop!,"- 97% of the 11,050 user reviews in the last 30 days are positive.",https://store.steampowered.com/app/431960/Wallpaper_Engine/?snr=1_7_7_7000_150_2,Use stunning live wallpapers on your desktop Animate your own images to create new wallpapers or import videoswebsites and share them on the Steam Workshop,Wallpaper Engine,use stunning live wallpaper desktop animate image create new wallpaper import videoswebsites share steam workshop,"['use', 'stunning', 'live', 'wallpaper', 'desktop', 'animate', 'image', 'create', 'new', 'wallpaper', 'import', 'videoswebsites', 'share', 'steam', 'workshop']"
Arma 3,Free,"12 Sep, 2013","['Military', 'Action', 'Multiplayer', 'Shooter', 'Simulation', 'Realistic', 'First-Person', 'Open World', 'Tactical', 'FPS', 'War', 'Co-op', 'Strategy', 'Sandbox', 'Singleplayer', 'Moddable', 'Combat', 'Online Co-Op', 'Team-Based', 'Third-Person Shooter']","Experience true combat gameplay in a massive military sandbox. Deploying a wide variety of single- and multiplayer content, over 20 vehicles and 40 weapons, and limitless opportunities for content creation, this is the PC’s premier military game. Authentic, diverse, open - Arma 3 sends you to war.","- 87% of the 1,755 user reviews in the last 30 days are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.",https://store.steampowered.com/app/107410/Arma_3/?snr=1_7_7_7000_150_2,Experience true combat gameplay in a massive military sandbox Deploying a wide variety of single and multiplayer content over 20 vehicles and 40 weapons and limitless opportunities for content creation this is the PCs premier military  Authentic diverse open  Arma 3 sends you to war,Arma 3,experience true combat gameplay massive military sandbox deploying wide variety single multiplayer content 20 vehicle 40 weapon limitless opportunity content creation pc premier military authentic diverse open arma 3 sends war,"['experience', 'true', 'combat', 'gameplay', 'massive', 'military', 'sandbox', 'deploying', 'wide', 'variety', 'single', 'multiplayer', 'content', '20', 'vehicle', '40', 'weapon', 'limitless', 'opportunity', 'content', 'creation', 'pc', 'premier', 'military', 'authentic', 'diverse', 'open', 'arma', '3', 'sends', 'war']"
Farming Simulator 25,Free,"12 Nov, 2024","['Simulation', 'Farming Sim', 'Realistic', 'Immersive Sim', '3D', 'First-Person', 'Time Management', 'Economy', 'Third Person', 'Multiplayer', 'Building', 'Management', 'Atmospheric', 'Nature', 'Relaxing', 'Online Co-Op', 'Physics', 'Farming', 'Singleplayer', 'Moddable']","Farming Simulator 25 invites you to join the rewarding farm life, single-handedly or cooperatively in multiplayer. This Farm is Your Farm!","- 83% of the 1,993 user reviews in the last 30 days are positive.",https://store.steampowered.com/app/2300320/Farming_Simulator_25/?snr=1_7_7_7000_150_2,Farming Simulator 25 invites you to join the rewarding farm life singlehandedly or cooperatively in multiplayer This Farm is Your Farm,Farming Simulator 25,farming simulator 25 invite join rewarding farm life singlehandedly cooperatively multiplayer farm farm,"['farming', 'simulator', '25', 'invite', 'join', 'rewarding', 'farm', 'life', 'singlehandedly', 'cooperatively', 'multiplayer', 'farm', 'farm']"
Party Animals,Free,"20 Sep, 2023","['Multiplayer', 'Casual', 'Funny', 'Cute', 'Party Game', 'Action', 'Fighting', 'Co-op', 'PvP', 'Party', 'Online Co-Op', 'Family Friendly', 'Local Multiplayer', 'Physics', '4 Player Local', '3D Fighter', 'Local Co-Op', 'Indie', 'Team-Based', 'Action-Adventure']","Fight your friends as puppies, kittens and other fuzzy creatures in PARTY ANIMALS! Paw it out with your friends remotely, or huddle together for chaotic fun on the same screen. Interact with the world under our realistic physics engine. Did I mention PUPPIES?",- 88% of the 959 user reviews in the last 30 days are positive.,https://store.steampowered.com/app/1260320/Party_Animals/?snr=1_7_7_7000_150_2,Fight your friends as puppies kittens and other fuzzy creatures in PARTY ANIMALS Paw it out with your friends remotely or huddle together for chaotic fun on the same screen Interact with the world under our realistic physics engine Did I mention PUPPIES,Party Animals,fight friend puppy kitten fuzzy creature party animal paw friend remotely huddle together chaotic fun screen interact world realistic physic engine mention puppy,"['fight', 'friend', 'puppy', 'kitten', 'fuzzy', 'creature', 'party', 'animal', 'paw', 'friend', 'remotely', 'huddle', 'together', 'chaotic', 'fun', 'screen', 'interact', 'world', 'realistic', 'physic', 'engine', 'mention', 'puppy']"
Age of Empires II: Definitive Edition,Free,"14 Nov, 2019","['Strategy', 'RTS', 'City Builder', 'Multiplayer', 'Base Building', 'Historical', 'Singleplayer', 'Medieval', 'Resource Management', 'Classic', 'Tactical', 'Real-Time', 'Co-op', 'Remake', 'Isometric', '2D', 'Replay Value', 'Action', 'Great Soundtrack', 'Adventure']","42 Civilizations, 229 Campaign Missions, Singleplayer, Co-Op, Multiplayer, In-Game Editor, Mods, Cross-play...It is good to be the king.","- 96% of the 1,342 user reviews in the last 30 days are positive.",https://store.steampowered.com/app/813780/Age_of_Empires_II_Definitive_Edition/?snr=1_7_7_7000_150_2,42 Civilizations 229 Campaign Missions Singleplayer CoOp Multiplayer InGame Editor Mods CrossplayIt is good to be the king,Age of Empires II Definitive Edition,42 civilization 229 campaign mission singleplayer coop multiplayer ingame editor mod crossplayit good king,"['42', 'civilization', '229', 'campaign', 'mission', 'singleplayer', 'coop', 'multiplayer', 'ingame', 'editor', 'mod', 'crossplayit', 'good', 'king']"
Hell Let Loose,Free,"27 Jul, 2021","['Shooter', 'Realistic', 'FPS', 'Multiplayer', 'World War II', 'Singleplayer', 'War', 'Action', 'Military', 'Tactical', 'Simulation', 'First-Person', 'Massively Multiplayer', 'Gore', 'Historical', 'PvP', 'Strategy', 'Mature', 'Violent', 'Indie']","Join the ever expanding experience of Hell Let Loose - a hardcore World War Two first person shooter with epic battles of 100 players with infantry, tanks, artillery, a dynamically shifting front line and a unique resource based RTS-inspired meta-game.","- 78% of the 1,745 user reviews in the last 30 days are positive.",https://store.steampowered.com/app/686810/Hell_Let_Loose/?snr=1_7_7_7000_150_2,Join the ever expanding experience of Hell Let Loose  a hardcore World War Two first person shooter with epic battles of 100 players with infantry tanks artillery a dynamically shifting front line and a unique resource based RTSinspired metagame,Hell Let Loose,join ever expanding experience hell let loose hardcore world war two first person shooter epic battle 100 player infantry tank artillery dynamically shifting front line unique resource based rtsinspired metagame,"['join', 'ever', 'expanding', 'experience', 'hell', 'let', 'loose', 'hardcore', 'world', 'war', 'two', 'first', 'person', 'shooter', 'epic', 'battle', '100', 'player', 'infantry', 'tank', 'artillery', 'dynamically', 'shifting', 'front', 'line', 'unique', 'resource', 'based', 'rtsinspired', 'metagame']"
Destiny 2,Free,"1 Oct, 2019","['Free to Play', 'Open World', 'Multiplayer', 'Looter Shooter', 'FPS', 'MMORPG', 'Co-op', 'PvE', 'PvP', 'Shooter', 'Massively Multiplayer', 'Loot', 'First-Person', 'Sci-fi', 'Action', 'Adventure', 'Lore-Rich', 'Space', 'Competitive', 'Atmospheric']","Destiny 2 is an action MMO with a single evolving world that you and your friends can join anytime, anywhere, absolutely free.","- 60% of the 2,097 user reviews in the last 30 days are positive.",https://store.steampowered.com/app/1085660/Destiny_2/?snr=1_7_7_7000_150_2,Destiny 2 is an action MMO with a single evolving world that you and your friends can join anytime anywhere absolutely free,Destiny 2,destiny 2 action mmo single evolving world friend join anytime anywhere absolutely free,"['destiny', '2', 'action', 'mmo', 'single', 'evolving', 'world', 'friend', 'join', 'anytime', 'anywhere', 'absolutely', 'free']"
Aloft,Free,"15 Jan, 2025","['Early Access', 'Survival', 'Crafting', 'Adventure', 'Co-op', 'Casual', 'Building', 'Atmospheric', 'Colorful', 'Farming', 'Simulation', 'Multiplayer', 'Open World Survival Craft', 'Sandbox', 'Exploration', 'Open World', 'Combat', 'Sailing', 'Agriculture', 'Character Customization']","Soar the skies in Aloft, the co-op sandbox survival game set in a world of floating islands. Build any island into a skyship, your home in the clouds. Find lost knowledge, cure the fungal corruption, and brave the hurricane to restore the ecosystem.",- 82% of the 720 user reviews for this game are positive.,https://store.steampowered.com/app/1660080/Aloft/?snr=1_7_7_7000_150_2,Soar the skies in Aloft the coop sandbox survival  set in a world of floating islands Build any island into a skyship your home in the clouds Find lost knowledge cure the fungal corruption and brave the hurricane to restore the ecosystem,Aloft,soar sky aloft coop sandbox survival set world floating island build island skyship home cloud find lost knowledge cure fungal corruption brave hurricane restore ecosystem,"['soar', 'sky', 'aloft', 'coop', 'sandbox', 'survival', 'set', 'world', 'floating', 'island', 'build', 'island', 'skyship', 'home', 'cloud', 'find', 'lost', 'knowledge', 'cure', 'fungal', 'corruption', 'brave', 'hurricane', 'restore', 'ecosystem']"
Khatun - Hero - FOR HONOR,Free,"23 Jan, 2025","['Action', 'Gore', 'Violent']",N/A,- 54% of the 24 user reviews for this game are positive.,https://store.steampowered.com/app/3407080/Khatun__Hero__FOR_HONOR/?snr=1_7_7_7000_150_3,NA,Khatun Hero FOR HONOR,na,['na']
Cyberpunk 2077: Phantom Liberty,Free,"25 Sep, 2023","['RPG', 'Sexual Content', 'Cyberpunk', 'Open World', 'Story Rich', 'Nudity', 'Violent', 'Gore', 'Singleplayer', 'Atmospheric', 'First-Person', 'FPS', 'Character Customization', 'Action RPG', 'Action', 'Choices Matter', 'Shooter', 'Horror', 'Great Soundtrack', 'Stealth']",N/A,- 91% of the 522 user reviews in the last 30 days are positive.,https://store.steampowered.com/app/2138330/Cyberpunk_2077_Phantom_Liberty/?snr=1_7_7_7000_150_3,NA,Cyberpunk 2077 Phantom Liberty,na,['na']
Euro Truck Simulator 2,Free,"12 Oct, 2012","['Driving', 'Transportation', 'Simulation', 'Open World', 'Automobile Sim', 'Realistic', 'Moddable', 'Relaxing', 'Exploration', 'Economy', 'Immersive Sim', 'Management', 'Atmospheric', 'Multiplayer', 'Controller', 'Family Friendly', 'Third Person', 'Adventure', 'Casual', 'Indie']","Travel across Europe as king of the road, a trucker who delivers important cargo across impressive distances! With dozens of cities to explore, your endurance, skill and speed will all be pushed to their limits.","- 96% of the 9,953 user reviews in the last 30 days are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.",https://store.steampowered.com/app/227300/Euro_Truck_Simulator_2/?snr=1_7_7_7000_150_3,Travel across Europe as king of the road a trucker who delivers important cargo across impressive distances With dozens of cities to explore your endurance skill and speed will all be pushed to their limits,Euro Truck Simulator 2,travel across europe king road trucker delivers important cargo across impressive distance dozen city explore endurance skill speed pushed limit,"['travel', 'across', 'europe', 'king', 'road', 'trucker', 'delivers', 'important', 'cargo', 'across', 'impressive', 'distance', 'dozen', 'city', 'explore', 'endurance', 'skill', 'speed', 'pushed', 'limit']"
Clair Obscur: Expedition 33,Free,"24 Apr, 2025","['Story Rich', 'Fantasy', 'Turn-Based Combat', 'JRPG', 'Exploration', 'Action RPG', 'Adventure', 'Character Customization', '3D', 'RPG', 'Lore-Rich', 'Post-apocalyptic', 'Party-Based RPG', 'Narration', 'Realistic', 'Dark Fantasy', 'Singleplayer', 'Action', 'Female Protagonist', 'Third Person']",Lead the members of Expedition 33 on their quest to destroy the Paintress so that she can never paint death again. Explore a world of wonders inspired by Belle Époque France and battle unique enemies in this turn-based RPG with real-time mechanics.,N/A,https://store.steampowered.com/app/1903340/Clair_Obscur_Expedition_33/?snr=1_7_7_7000_150_3,Lead the members of Expedition 33 on their quest to destroy the Paintress so that she can never paint death again Explore a world of wonders inspired by Belle Epoque France and battle unique enemies in this turnbased RPG with realtime mechanics,Clair Obscur Expedition 33,lead member expedition 33 quest destroy paintress never paint death explore world wonder inspired belle epoque france battle unique enemy turnbased rpg realtime mechanic,"['lead', 'member', 'expedition', '33', 'quest', 'destroy', 'paintress', 'never', 'paint', 'death', 'explore', 'world', 'wonder', 'inspired', 'belle', 'epoque', 'france', 'battle', 'unique', 'enemy', 'turnbased', 'rpg', 'realtime', 'mechanic']"
Persona 5 Royal,Free,"20 Oct, 2022","['JRPG', 'Story Rich', 'Turn-Based Combat', 'Great Soundtrack', 'Anime', 'RPG', 'Singleplayer', 'Party-Based RPG', 'Dating Sim', 'Multiple Endings', 'Turn-Based Strategy', 'Emotional', 'Visual Novel', 'Sexual Content', 'Colorful', 'Adventure', 'Heist', 'Soundtrack', 'Detective', 'Violent']","Don the mask and join the Phantom Thieves of Hearts as they stage grand heists, infiltrate the minds of the corrupt, and make them change their ways!","- 96% of the 2,099 user reviews in the last 30 days are positive.",https://store.steampowered.com/app/1687950/Persona_5_Royal/?snr=1_7_7_7000_150_3,Don the mask and join the Phantom Thieves of Hearts as they stage grand heists infiltrate the minds of the corrupt and make them change their ways,Persona 5 Royal,mask join phantom thief heart stage grand heist infiltrate mind corrupt make change way,"['mask', 'join', 'phantom', 'thief', 'heart', 'stage', 'grand', 'heist', 'infiltrate', 'mind', 'corrupt', 'make', 'change', 'way']"
Age of Mythology: Retold,Free,"4 Sep, 2024","['Strategy', 'RTS', 'Mythology', 'Base Building', 'Action RTS', 'Fantasy', 'Top-Down', 'Multiplayer', 'Magic', 'Resource Management', 'Level Editor', 'Moddable', 'PvP', 'PvE', 'Singleplayer', 'Co-op', 'Story Rich', 'Online Co-Op', 'Real-Time', '3D']","From the creators of the award-winning Age of Empires franchise, Age of Mythology: Retold goes beyond history to a mythical age where gods, monsters, and humans collide.",- 86% of the 693 user reviews in the last 30 days are positive.,https://store.steampowered.com/app/1934680/Age_of_Mythology_Retold/?snr=1_7_7_7000_150_3,From the creators of the awardwinning Age of Empires franchise Age of Mythology Retold goes beyond history to a mythical age where gods monsters and humans collide,Age of Mythology Retold,creator awardwinning age empire franchise age mythology retold go beyond history mythical age god monster human collide,"['creator', 'awardwinning', 'age', 'empire', 'franchise', 'age', 'mythology', 'retold', 'go', 'beyond', 'history', 'mythical', 'age', 'god', 'monster', 'human', 'collide']"
Factorio,Free,"14 Aug, 2020","['Automation', 'Base Building', 'Resource Management', 'Sandbox', 'Crafting', 'Strategy', 'Multiplayer', 'Survival', 'Management', 'Open World', 'Building', 'Co-op', '2D', 'Moddable', 'Singleplayer', 'Trains', 'Simulation', 'Pixel Graphics', 'City Builder', 'Indie']","Factorio is a game about building and creating automated factories to produce items of increasing complexity, within an infinite 2D world. Use your imagination to design your factory, combine simple elements into ingenious structures, and finally protect it from the creatures who don't really like you.","- 97% of the 1,921 user reviews in the last 30 days are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.",https://store.steampowered.com/app/427520/Factorio/?snr=1_7_7_7000_150_3,Factorio is a  about building and creating automated factories to produce items of increasing complexity within an infinite 2D world Use your imagination to design your factory combine simple elements into ingenious structures and finally protect it from the creatures who dont really like you,Factorio,factorio building creating automated factory produce item increasing complexity within infinite 2d world use imagination design factory combine simple element ingenious structure finally protect creature dont really like,"['factorio', 'building', 'creating', 'automated', 'factory', 'produce', 'item', 'increasing', 'complexity', 'within', 'infinite', '2d', 'world', 'use', 'imagination', 'design', 'factory', 'combine', 'simple', 'element', 'ingenious', 'structure', 'finally', 'protect', 'creature', 'dont', 'really', 'like']"
Lies of P,Free,"18 Sep, 2023","['Souls-like', 'Action', 'Dark Fantasy', 'Action RPG', 'Exploration', 'Singleplayer', 'Third Person', 'Story Rich', 'Dark', 'Adventure', 'Steampunk', 'Atmospheric', '3D', 'RPG', 'Choices Matter', 'Multiple Endings', 'Gothic', 'Violent', 'Difficult', 'Replay Value']","Lies of P is a thrilling soulslike that takes the story of Pinocchio, turns it on its head, and sets it against the darkly elegant backdrop of the Belle Epoque era.",- 91% of the 993 user reviews in the last 30 days are positive.,https://store.steampowered.com/app/1627720/Lies_of_P/?snr=1_7_7_7000_150_3,Lies of P is a thrilling soulslike that takes the story of Pinocchio turns it on its head and sets it against the darkly elegant backdrop of the Belle Epoque era,Lies of P,lie p thrilling soulslike take story pinocchio turn head set darkly elegant backdrop belle epoque era,"['lie', 'p', 'thrilling', 'soulslike', 'take', 'story', 'pinocchio', 'turn', 'head', 'set', 'darkly', 'elegant', 'backdrop', 'belle', 'epoque', 'era']"
ARK: Survival Ascended,Free,"25 Oct, 2023","['Early Access', 'Survival', 'Open World', 'Multiplayer', 'Dinosaurs', 'Adventure', 'Building', 'Crafting', 'Base Building', 'Action', 'Sandbox', 'Character Customization', 'PvP', 'PvE', 'Singleplayer', 'Massively Multiplayer', 'Inventory Management', 'RPG', 'Fantasy', 'Sci-fi']","ARK is reimagined from the ground-up into the next-generation of video game technology with Unreal Engine 5! Form a tribe, tame & breed hundreds of unique dinosaurs and primeval creatures, explore, craft, build, and fight your way to the top of the food-chain. Your new world awaits!","- 64% of the 2,151 user reviews in the last 30 days are positive.",https://store.steampowered.com/app/2399830/ARK_Survival_Ascended/?snr=1_7_7_7000_150_3,ARK is reimagined from the groundup into the nextgeneration of video  technology with Unreal Engine 5 Form a tribe tame  breed hundreds of unique dinosaurs and primeval creatures explore craft build and fight your way to the top of the foodchain Your new world awaits,ARK Survival Ascended,ark reimagined groundup nextgeneration video technology unreal engine 5 form tribe tame breed hundred unique dinosaur primeval creature explore craft build fight way top foodchain new world awaits,"['ark', 'reimagined', 'groundup', 'nextgeneration', 'video', 'technology', 'unreal', 'engine', '5', 'form', 'tribe', 'tame', 'breed', 'hundred', 'unique', 'dinosaur', 'primeval', 'creature', 'explore', 'craft', 'build', 'fight', 'way', 'top', 'foodchain', 'new', 'world', 'awaits']"
Team Fortress 2,Free,"10 Oct, 2007","['Free to Play', 'Hero Shooter', 'Multiplayer', 'FPS', 'Shooter', 'Action', 'Class-Based', 'Team-Based', 'Funny', 'First-Person', 'Online Co-Op', 'Competitive', 'Cartoony', 'Trading', 'Co-op', 'Comedy', 'Robots', 'Tactical', 'Cartoon', 'Crafting']","Nine distinct classes provide a broad range of tactical abilities and personalities. Constantly updated with new game modes, maps, equipment and, most importantly, hats!","- 94% of the 7,469 user reviews in the last 30 days are positive.",https://store.steampowered.com/app/440/Team_Fortress_2/?snr=1_7_7_7000_150_3,Nine distinct classes provide a broad range of tactical abilities and personalities Constantly updated with new  modes maps equipment and most importantly hats,Team Fortress 2,nine distinct class provide broad range tactical ability personality constantly updated new mode map equipment importantly hat,"['nine', 'distinct', 'class', 'provide', 'broad', 'range', 'tactical', 'ability', 'personality', 'constantly', 'updated', 'new', 'mode', 'map', 'equipment', 'importantly', 'hat']"
Age of Darkness: Final Stand,Free,"15 Jan, 2025","['Action RTS', 'Tower Defense', 'PvE', 'RTS', 'Strategy', 'Base Building', '3D', 'Stylized', 'Dark Fantasy', 'Fantasy', 'Medieval', 'Tactical', 'Atmospheric', 'Building', 'Survival', 'Dark', 'Co-op', 'Combat', 'Resource Management', 'Multiplayer']","Age of Darkness: Final Stand is a dark fantasy survival RTS where you must illuminate, build and defend humanity’s last bastion against hordes of Nightmares. Set in the remnants of a kingdom consumed by a deadly fog, you decide. Will you hide in the light? Or take back your world.",- 70% of the 995 user reviews in the last 30 days are positive.,https://store.steampowered.com/app/1426450/Age_of_Darkness_Final_Stand/?snr=1_7_7_7000_150_3,Age of Darkness Final Stand is a dark fantasy survival RTS where you must illuminate build and defend humanitys last bastion against hordes of Nightmares Set in the remnants of a kingdom consumed by a deadly fog you decide Will you hide in the light Or take back your world,Age of Darkness Final Stand,age darkness final stand dark fantasy survival rts must illuminate build defend humanity last bastion horde nightmare set remnant kingdom consumed deadly fog decide hide light take back world,"['age', 'darkness', 'final', 'stand', 'dark', 'fantasy', 'survival', 'rts', 'must', 'illuminate', 'build', 'defend', 'humanity', 'last', 'bastion', 'horde', 'nightmare', 'set', 'remnant', 'kingdom', 'consumed', 'deadly', 'fog', 'decide', 'hide', 'light', 'take', 'back', 'world']"
ELDEN RING Shadow of the Erdtree,Free,"20 Jun, 2024","['Action', 'RPG', 'Souls-like', 'Difficult', 'Fantasy', 'Dark', 'Exploration', 'Lore-Rich', 'Adventure', 'Singleplayer', 'Story Rich', 'Third Person', 'Action RPG', 'PvE', 'Character Customization', 'Multiplayer', 'PvP', 'Online Co-Op', '3D', 'Co-op']",N/A,- 68% of the 463 user reviews in the last 30 days are positive.,https://store.steampowered.com/app/2778580/ELDEN_RING_Shadow_of_the_Erdtree/?snr=1_7_7_7000_150_3,NA,ELDEN RING Shadow of the Erdtree,na,['na']
Wartales,Free,"12 Apr, 2023","['RPG', 'Open World', 'Turn-Based Strategy', 'Party-Based RPG', 'Medieval', 'Co-op', 'Adventure', 'Turn-Based Combat', 'Strategy', 'Multiplayer', 'Singleplayer', 'Tactical RPG', 'Exploration', 'Sandbox', 'Survival', 'Turn-Based', 'Online Co-Op', 'Story Rich', 'Violent', 'Indie']","Wartales is an open world RPG in which you lead a group of mercenaries in their search for wealth across a massive medieval universe. Explore the world, recruit companions, collect bounties and unravel the secrets of the tombs of the ancients!",- 83% of the 481 user reviews in the last 30 days are positive.,https://store.steampowered.com/app/1527950/Wartales/?snr=1_7_7_7000_150_3,Wartales is an open world RPG in which you lead a group of mercenaries in their search for wealth across a massive medieval universe Explore the world recruit companions collect bounties and unravel the secrets of the tombs of the ancients,Wartales,wartales open world rpg lead group mercenary search wealth across massive medieval universe explore world recruit companion collect bounty unravel secret tomb ancient,"['wartales', 'open', 'world', 'rpg', 'lead', 'group', 'mercenary', 'search', 'wealth', 'across', 'massive', 'medieval', 'universe', 'explore', 'world', 'recruit', 'companion', 'collect', 'bounty', 'unravel', 'secret', 'tomb', 'ancient']"
Enshrouded,Free,"24 Jan, 2024","['Open World', 'Survival', 'Base Building', 'Multiplayer', 'Online Co-Op', 'Crafting', 'RPG', 'Action RPG', 'Adventure', 'Building', 'Exploration', 'Singleplayer', 'Fantasy', 'Sandbox', 'Character Customization', 'Early Access', 'PvE', 'Action', '3D', 'Indie']","You are Flameborn, last ember of hope of a dying race. Awaken, survive the terror of a corrupting fog, and reclaim the lost beauty of your kingdom. Venture into a vast world, vanquish punishing bosses, build grand halls and forge your path in this co-op survival action RPG for up to 16 players.","- 84% of the 1,663 user reviews in the last 30 days are positive.",https://store.steampowered.com/app/1203620/Enshrouded/?snr=1_7_7_7000_150_3,You are Flameborn last ember of hope of a dying race Awaken survive the terror of a corrupting fog and reclaim the lost beauty of your kingdom Venture into a vast world vanquish punishing bosses build grand halls and forge your path in this coop survival action RPG for up to 16 players,Enshrouded,flameborn last ember hope dying race awaken survive terror corrupting fog reclaim lost beauty kingdom venture vast world vanquish punishing boss build grand hall forge path coop survival action rpg 16 player,"['flameborn', 'last', 'ember', 'hope', 'dying', 'race', 'awaken', 'survive', 'terror', 'corrupting', 'fog', 'reclaim', 'lost', 'beauty', 'kingdom', 'venture', 'vast', 'world', 'vanquish', 'punishing', 'boss', 'build', 'grand', 'hall', 'forge', 'path', 'coop', 'survival', 'action', 'rpg', '16', 'player']"
SMITE 2,Free,"27 Aug, 2024","['Early Access', 'Action', 'MOBA', 'Third Person', 'Strategy', 'Adventure', 'Casual', 'Mythology', 'Competitive', 'RPG', 'Massively Multiplayer', 'Team-Based', 'Multiplayer', 'PvP', 'God Game', 'Co-op', 'Combat', 'Online Co-Op', 'MMORPG', 'Action-Adventure']","Become a god and wage war in SMITE 2, the free-to-play Unreal Engine 5-powered sequel to the legendary third-person action MOBA. If you love challenging competition, intense action, ability-driven combat, rewarding teamwork, or godly mythology, you’ll see why 40+ million players love SMITE.","- 58% of the 3,973 user reviews in the last 30 days are positive.",https://store.steampowered.com/app/2437170/SMITE_2/?snr=1_7_7_7000_150_3,Become a god and wage war in SMITE 2 the freetoplay Unreal Engine 5powered sequel to the legendary thirdperson action MOBA If you love challenging competition intense action abilitydriven combat rewarding teamwork or godly mythology youll see why 40 million players love SMITE,SMITE 2,become god wage war smite 2 freetoplay unreal engine 5powered sequel legendary thirdperson action moba love challenging competition intense action abilitydriven combat rewarding teamwork godly mythology youll see 40 million player love smite,"['become', 'god', 'wage', 'war', 'smite', '2', 'freetoplay', 'unreal', 'engine', '5powered', 'sequel', 'legendary', 'thirdperson', 'action', 'moba', 'love', 'challenging', 'competition', 'intense', 'action', 'abilitydriven', 'combat', 'rewarding', 'teamwork', 'godly', 'mythology', 'youll', 'see', '40', 'million', 'player', 'love', 'smite']"
